Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
20, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
40, 41, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
60, 42, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
80, 43, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
100, 44, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
120, 45, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
140, 46, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
160, 47, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
180, 48, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
200, 49, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
220, 4A, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
240, 4B, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
260, 4C, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
280, 4D, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
300, 4E, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
320, 4F, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
340, 50, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
360, 51, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
380, 52, 0, 1, 0, 1, 0, 0, 1, 0, 0, 
400, 53, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
420, 54, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
440, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
460, 56, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
480, 57, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
500, 58, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
520, 59, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
540, 5A, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
560, 5B, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
580, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
600, 5D, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
620, 5E, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
640, 5F, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
660, 60, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
680, 61, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
700, 62, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
720, 63, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
740, 64, 0, 1, 1, 0, 0, 1, 0, 0, 0, 
760, 65, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
780, 66, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
800, 67, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
820, 68, 0, 1, 1, 0, 1, 0, 0, 0, 0, 
840, 69, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
860, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 0, 
880, 6B, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
900, 6C, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
920, 6D, 0, 1, 1, 0, 1, 1, 0, 1, 0, 
940, 6E, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
960, 6F, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
980, 70, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
1000, 71, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
1020, 72, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
1040, 73, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
1060, 74, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
1080, 75, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
1100, 76, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
1120, 77, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
1140, 78, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
1160, 79, 0, 1, 1, 1, 1, 0, 0, 1, 0, 
1180, 7A, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
1200, 7B, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
1220, 7C, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
1240, 7D, 0, 1, 1, 1, 1, 1, 0, 1, 0, 
1260, 7E, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
1280, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
1300, 80, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1320, 81, 1, 0, 0, 0, 0, 0, 0, 1, 0, 
1340, 82, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
1360, 83, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
1380, 84, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
1400, 85, 1, 0, 0, 0, 0, 1, 0, 1, 0, 
1420, 86, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
1440, 87, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
1460, 88, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
1480, 89, 1, 0, 0, 0, 1, 0, 0, 1, 0, 
1500, 8A, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
1520, 8B, 1, 0, 0, 0, 1, 0, 1, 1, 0, 
1540, 8C, 1, 0, 0, 0, 1, 1, 0, 0, 0, 
1560, 8D, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
1580, 8E, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
1600, 8F, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
1620, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 
1640, 91, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
1660, 92, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
1680, 93, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
1700, 94, 1, 0, 0, 1, 0, 1, 0, 0, 0, 
1720, 95, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
1740, 96, 1, 0, 0, 1, 0, 1, 1, 0, 0, 
1760, 97, 1, 0, 0, 1, 0, 1, 1, 1, 0, 
1780, 98, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
1800, 99, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
1820, 9A, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
1840, 9B, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
1860, 9C, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
1880, 9D, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
1900, 9E, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
1920, 9F, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
1940, A0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
1960, A1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
1980, A2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
2000, A3, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
2020, A4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 
2040, A5, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
2060, A6, 1, 0, 1, 0, 0, 1, 1, 0, 0, 
2080, A7, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
2100, A8, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
2120, A9, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
2140, AA, 1, 0, 1, 0, 1, 0, 1, 0, 0, 
2160, AB, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
2180, AC, 1, 0, 1, 0, 1, 1, 0, 0, 0, 
2200, AD, 1, 0, 1, 0, 1, 1, 0, 1, 0, 
2220, AE, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
2240, AF, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
2260, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
2280, B1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
2300, B2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
2320, B3, 1, 0, 1, 1, 0, 0, 1, 1, 0, 
2340, B4, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
2360, B5, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
2380, B6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 
